Package Tracking Number,Transaction Date,Recipient Name,Recipient Company,Recipient Address,Recipient Country,Class,Total Cost,Package Weight,User Email,Service Cost,Weight (lbs),Appearances
{9455140109628000044460},2025-09-05 0:00:00,Interlibrary Loan,Clive Public Library,1900 NW 114th St Clive IA 50325-7077,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000044163},2025-09-05 0:00:00,Interlibrary Loan,Saratoga Springs Library,"1307 N Commerce Dr, Ste 140 Saratoga Springs UT 84045-5301",US,Library Mail,6.38,4 lbs ,,,4,1
{9455140109628000044194},2025-09-05 0:00:00,ILL Dept,Montgomery College,7602 Standish Pl Rockville MD 20855-2811,US,Library Mail,7.81,6 lbs ,,,6,1
{9455140109628000058306},2025-09-08 0:00:00,Interlibrary Loan,North Platte High School,1220 W 2nd St North Platte NE 69101-4699,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000074283},2025-09-09 0:00:00,Interlibrary Loan Dept,Appleton Public Library,200 N Appleton St Appleton WI 54911-4704,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000082615},2025-09-10 0:00:00,Interlibrary Loan Dept,Rolling Meadows Public Library,3110 Martin Ln Rolling Meadows IL 60008-2698,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000082431},2025-09-10 0:00:00,Kolwyck Library - ILL,Chattanooga State Community College,4501 Amnicola Hwy Chattanooga TN 37406-1097,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000083667},2025-09-10 0:00:00,ILL Dept,St. Clair Cty Community College Library,PO Box 5015 Port Huron MI 48061-5015,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000083599},2025-09-10 0:00:00,ILL Dept - Dulany Library ,William Woods University,1 University Ave Fulton MO 65251-1098,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000082875},2025-09-10 0:00:00,Interlibrary Loan,Luck Public Library,301 S Main St Luck WI 54853-9088,US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000083421},2025-09-10 0:00:00,ILL Dept,Hastings Public Library,314 N Denver Ave Hastings NE 68901-5127,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000083384},2025-09-10 0:00:00,ILL Dept - Stoxen Library,Dickinson State University,291 Campus Dr Dickinson ND 58601-4896,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000083292},2025-09-10 0:00:00,ILL Dept,Peru State College Library,PO Box 10 Peru NE 68421-0010,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000130446},2025-09-15 0:00:00,ILL Dept - Sterling Morton Library,The Morton Arboretum,4100 Illinois Route 53 Lisle IL 60532-1293,US,Library Mail,5.67,3 lbs ,,,3,1
{9455140109628000131375},2025-09-15 0:00:00,Interlibrary Loan,Fremont County Library - Lander,451 N 2nd St Lander WY 82520-2316,US,Library Mail,5.67,3 lbs ,,,3,1
{9455140109628000121727},2025-09-15 0:00:00,INTERLIBRARY LOAN,MARICOPA COMMUNITY LIBRARY,18160 N Maya Angelou Dr Maricopa AZ 85138-0404,US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000123004},2025-09-15 0:00:00,Clapp Library - ILL,Wellesley College,106 Central St Wellesley MA 02481-8203,US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000132464},2025-09-15 0:00:00,ILL Dept -  COKAMO C722,Bud Werner Memorial Library,1289 Lincoln Ave Steamboat Springs CO 80487-4940,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000131405},2025-09-15 0:00:00,Interlibrary Loan,Puyallup Public Library,324 S Meridian Puyallup WA 98371-5914,US,Library Mail,8.52,7 lbs ,,,7,1
{9455140109628000123202},2025-09-15 0:00:00,Library - Interlibrary Loan,The College of Staten Island,"2800 Victory Blvd, # 1L-106A Staten Island NY 10314-6600",US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000123219},2025-09-15 0:00:00,Logan Library - ILL Dept,Rose-Hulman Institute of Technology,5500 Wabash Ave Terre Haute IN 47803-3920,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000123233},2025-09-15 0:00:00,Interlibrary Loan,Winooski Memorial Library,"32 Malletts Bay Ave, Ste D Winooski VT 05404-1960",US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000123257},2025-09-15 0:00:00,Interlibrary Loan,Irmo Branch Library,6251 Saint Andrews Rd Columbia SC 29212-3152,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000131702},2025-09-15 0:00:00,Library - Interlibrary Services,Texas A&M University College Station,5000 Tamu College Station TX 77843-5000,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000131733},2025-09-15 0:00:00,Knight Library - Attn  ILL,Community College of Rhode Island,400 East Ave Warwick RI 02886-1807,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000130798},2025-09-15 0:00:00,Stevenson Library Interlibrary Loan,Lock Haven University,401 N Fairview St Lock Haven PA 17745-2390,US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000130743},2025-09-15 0:00:00,Interlibrary Loan,Richland Library,1431 Assembly St Columbia SC 29201-3101,US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000131672},2025-09-15 0:00:00,ILL Dept,Southeast Community College,4771 W Scott Rd Beatrice NE 68310-7042,US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000147253},2025-09-16 0:00:00,Hubert Library Interlibrary Loan Dept,Florida Inter'l Univer Biscayne Bay,3000 NE 151st St North Miami FL 33181-3000,US,Library Mail,4.96,2 lbs ,,,2,1
{LS004813994US},2025-09-16 0:00:00,Interlibrary Loans,Hertfordshire Libraries,Unit 3 Centrapark Bessemer Road Welwyn Garden City HT AL7 1HT,GB,First Pkg Int'l,30.34,1 lbs 13.10 oz,,,1.81875,1
{9455140109628000146720},2025-09-16 0:00:00,Library - Interlibrary Loan Dept,St. Philip's College,1801 Mlk Dr San Antonio TX 78203-2098,US,Library Mail,9.23,8 lbs ,,,8,1
{9455140109628000146249},2025-09-16 0:00:00,Neumann Library - Interlibrary Loan Dept,University of Houston-Clear Lake,2700 Bay Area Blvd Bayou Building 2402 Houston TX 77058-1025,US,Library Mail,5.67,3 lbs ,,,3,1
{9455140109628000147512},2025-09-16 0:00:00,Avon Williams Campus Library - ILL,Tennessee State University,330 10th Ave N Nashville TN 37203-3401,US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000148014},2025-09-16 0:00:00,Library - Interlibrary Loan,Warren Wilson College,PO Box 9000 Asheville NC 28815-9000,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000147987},2025-09-16 0:00:00,ILL,Western Plains Library System,501 S 28th St Clinton OK 73601-3703,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000147970},2025-09-16 0:00:00,Guerrieri Academic Commons Libraries ILL,Salisbury University,1134 S Salisbury Blvd Salisbury MD 21801-6328,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000147895},2025-09-16 0:00:00,Eccles Health Science ED BLDG Library,University of Utah,"26 S 2000 E, Rm 3100 Salt Lake City UT 84112-5821",US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000147727},2025-09-16 0:00:00,Loves Park Branch Interlibrary Loan Dept,North Suburban Library District,6340 N 2nd St Loves Park IL 61111-4166,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000147635},2025-09-16 0:00:00,Library - Interlibrary Loan Dept,Western Connecticut State University,181 White St Danbury CT 06810-6826,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000162126},2025-09-17 0:00:00,Interlibrary Loan Dept,Jay C Byers Memorial Library,215 E Wichita Ave Cleveland OK 74020-3635,US,Library Mail,5.67,3 lbs ,,,3,1
{9455140109628000162041},2025-09-17 0:00:00,Perkins Library - ILL,Doane College,1014 Boswell Ave Crete NE 68333-2426,US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000162362},2025-09-17 0:00:00,Mabie Law Library - ILL,University of California Davis,400 Mrak Hall Dr Davis CA 95616-5203,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000162461},2025-09-17 0:00:00,Interlibrary Loan Dept,Salazar-Ajo Branch Library,"15 N Plaza St, Ste 179 Ajo AZ 85321-2487",US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000174433},2025-09-18 0:00:00,Interlibrary Loans - 253 LB,University of South Alabama,5901 USA Dr N Marx Library Mobile AL 36688-0001,US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000174495},2025-09-18 0:00:00,ILL Dept,Bellingham Public Library,100 Blackstone St Bellingham MA 02019-1677,US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000174556},2025-09-18 0:00:00,ILL Dept,Villa Maria College Library,240 Pine Ridge Rd Buffalo NY 14225-3999,US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000174945},2025-09-18 0:00:00,ILL Dept,Hostos Community College,"475 Grnd Concrs, # A308 Bronx NY 10451-5307",US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000174914},2025-09-18 0:00:00,Library - Interlibrary Loan,Conception Abbey & Seminary,PO Box 501 Conception MO 64433-0501,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000174730},2025-09-18 0:00:00,Barret Library - ILL Dept,Rhodes College,2000 N Parkway Memphis TN 38112-1624,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000181776},2025-09-19 0:00:00,ILL Dept - Library,LaGuardia Community College,3110 Thomson Ave Long Island City NY 11101-3083,US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000181790},2025-09-19 0:00:00,Interlibrary Loan,Toole County Library,229 2nd Ave S Shelby MT 59474-1928,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000199931},2025-09-22 0:00:00,ILL Dept,Centuria Public Library,PO Box 370 Centuria WI 54824-0370,US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000198996},2025-09-22 0:00:00,ILL Dept,Prince Memorial Library,266 Main St Cumberland Center ME 04021-3607,US,Library Mail,5.67,3 lbs ,,,3,1
{9455140109628000200071},2025-09-22 0:00:00,Atkins Library - ILL,University of North Carolina - Charlotte,9201 University City Blvd Charlotte NC 28223-0001,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000214856},2025-09-23 0:00:00,Library - Interlibrary Loan,University Indiana at Columbus,4555 Central Ave Columbus IN 47203-1892,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000214269},2025-09-23 0:00:00,Interlibrary Loan Dept,Longview Public Library,222 W Cotton St Longview TX 75601-6348,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000227214},2025-09-24 0:00:00,ILL Dept,Manti Public Library,2 S Main St Manti UT 84642-1349,US,Library Mail,5.67,3 lbs ,,,3,1
{9455140109628000227160},2025-09-24 0:00:00,ILL Dept,Clifton Public Library,PO Box 452 Clifton IL 60927-0452,US,Library Mail,5.67,3 lbs ,,,3,1
{9455140109628000227658},2025-09-24 0:00:00,ILL Dept - Fountain New Library,Brewton Parker College,PO Box 197 Mount Vernon GA 30445-0197,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000228112},2025-09-24 0:00:00,,Vashon Reads,9733 SW Harbor Dr Vashon WA 98070-7039,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000240749},2025-09-25 0:00:00,Gelman Library - ILL,George Washington University,2130 H St NW Washington DC 20052-0081,US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000241449},2025-09-25 0:00:00,Library - Interlibrary Loan,LeTourneau University,PO Box 7001 Longview TX 75607-7001,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000246253},2025-09-25 0:00:00,Margaret A Snell,,14222 108th NE Ave Kirkland WA 98034,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000240497},2025-09-25 0:00:00,Albin O Kuhn Library - ILL,University of MD Baltimore Cty,1000 Hilltop Cir Baltimore MD 21250-0002,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000259246},2025-09-26 0:00:00,ILL Dept,Orangeville Public Library,PO Box 628 Orangeville UT 84537-0628,US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000259208},2025-09-26 0:00:00,ILL Dept,Plano Community Library,15 W North St Plano IL 60545-1444,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000259055},2025-09-26 0:00:00,ILL Lending,DuPont Library,735 University Ave Sewanee TN 37383-2000,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000272382},2025-09-29 0:00:00,Brenner Library - Interlibrary Loan,Quincy University,1800 College Ave Quincy IL 62301-2699,US,Library Mail,5.67,3 lbs ,,,3,1
{9455140109628000272146},2025-09-29 0:00:00,Library - Interlibrary Loan,College of Lake County,19351 W Washington St Grayslake IL 60030-1198,US,Library Mail,5.67,3 lbs ,,,3,1
{9455140109628000272191},2025-09-29 0:00:00,EV Library - Interlibrary Loan,Metropolitan Community College,PO Box 3777 Omaha NE 68103-0777,US,Library Mail,7.1,5 lbs ,,,5,1
{9455140109628000272139},2025-09-29 0:00:00,Library - ILL Dept,Front Range Community College,3645 W 112th Ave Westminster CO 80031-2199,US,Library Mail,6.38,4 lbs ,,,4,1
{9455140109628000272801},2025-09-29 0:00:00,OC Bailey Library - ILL,Hendrix College,1600 Washington Ave Conway AR 72032-3080,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000285764},2025-09-30 0:00:00,ILL Dept,Middlesex County Library,PO Box 3050 Edison NJ 08818-3050,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000285818},2025-09-30 0:00:00,ILL Dept,Pemberville Public Library,375 E Front St Pemberville OH 43450-7037,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000328034},2025-10-03 0:00:00,Interlibrary Loan,Santaquin Public Library,20 W 100 S Santaquin UT 84655-8008,US,Library Mail,5.67,3 lbs ,,,3,1
{9455140109628000327990},2025-10-03 0:00:00,OSF Library - ILL Dept,University of St Thomas,2115 Summit Ave Saint Paul MN 55105-1096,US,Library Mail,6.38,4 lbs ,,,4,1
{9455140109628000328140},2025-10-03 0:00:00,Monroe Library - ILL Dept,Loyola University New Orleans,6363 St Charles Ave New Orleans LA 70118-6143,US,Library Mail,7.81,6 lbs ,,,6,1
{9455140109628000328454},2025-10-03 0:00:00,Library - Interlibrary Loan,University of Michigan,913 S University Ave Ann Arbor MI 48109-1190,US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000328614},2025-10-03 0:00:00,ILL,Georgia Institute of Technology,1260 Briarclif Rd NE Atlanta GA 30306-2636,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000414140},2025-10-14 0:00:00,ILL Snowden Library,Lycoming College IDS 147,700 College Place Williamsport PA 17701,US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000413778},2025-10-14 0:00:00,Interlibrary Loan,Texarkana Public Library,600 W 3rd St Texarkana TX 75501-5054,US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000415444},2025-10-14 0:00:00,ILL Dept,Oral Roberts University,7777 S Lewis Ave Tulsa OK 74136-7741,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000415208},2025-10-14 0:00:00,ILL Dept,Peoria Public Library,8401 W Monroe St Peoria AZ 85345-6560,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000415109},2025-10-14 0:00:00,Interlibrary Loan,Sublette County Public Library,PO Box 489 Pinedale WY 82941-0489,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000414621},2025-10-14 0:00:00,ILS - Olin Library ,Cornell University,B42 Olin Library Ithaca NY 14853,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000413907},2025-10-14 0:00:00,Kent Campus Library ILL,Florida State College,"3939 Roosevelt Blvd, Rm C-100 Jacksonville FL 32205-8949",US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000414461},2025-10-14 0:00:00,ILL Dept,Sweet Briar College Library,134 Chapel Rd Sweet Briar VA 24595-5001,US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000414423},2025-10-14 0:00:00,Kris Goss - The library Learning Hub,Helena College Library University of MT,1115 N Roberts St Helena MT 59601-3054,US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000430218},2025-10-15 0:00:00,Interlibrary Loan,Weatherford Public Library,219 E Franklin Ave Weatherford OK 73096-5134,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000430362},2025-10-15 0:00:00,Interlibrary Loan,Prospect Heights Public Library,12 Elm St Prospect Heights IL 60070-1499,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000429632},2025-10-15 0:00:00,ILL Dept,Deer Park Public Library,112 Front St W Deer Park WI 54007-9711,US,Library Mail,4.96,2 lbs ,,,2,1
{9455140109628000457260},2025-10-17 0:00:00,Miller Library - ILL,McPherson College,1600 E Euclid St Box 1402 McPherson KS 67460-3847,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000457055},2025-10-17 0:00:00,Sturgis Library - ILL Dept,Kennesaw State University,"385 Cobb Ave NW, # 1701 Kennesaw GA 30144-5660",US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000457284},2025-10-17 0:00:00,Interlibrary Loan Department,Octavia Fellin Public Library,115 W Hill Ave Gallup NM 87301-6217,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000457208},2025-10-17 0:00:00,Library - Courtesy Return,US Army Corps of Engineers,"4735 E Marginal Way S, Ste 1202 Seattle WA 98134-2329",US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000457253},2025-10-17 0:00:00,Interlibrary Loan Department,Kewanee Public Library District,102 S Tremont St Kewanee IL 61443-2130,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000457277},2025-10-17 0:00:00,Miner Memorial Library - ILL,Kankakee Community College,100 College Dr Kankakee IL 60901-6505,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000456942},2025-10-17 0:00:00,Interlibrary Loan,Emporia Public Library,110 E 6th Ave Emporia KS 66801-3960,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000455884},2025-10-17 0:00:00,Irmo Branch - Interlibrary Loan,Lexington County Public Library,6251 Saint Andrews Rd Columbia SC 29212-3152,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000456782},2025-10-17 0:00:00,Library - ILL Dept,University of Texas,"1155 Union Cir, # 305190 Denton TX 76203-5017",US,Library Mail,4.96,2 lbs ,,,2,1
{9455109109628500118996},2025-10-20 0:00:00,Interlibrary Loan,Mid-American Christian University,3500 SW 119th St Oklahoma City OK 73170-4500,US,Library Mail,4.96,2 lbs ,,,2,1
{9455109109628500109376},2025-10-20 0:00:00,ILL Dept,WA Talking Book & Braille Library,2021 9th Ave Seattle WA 98121-2737,US,Library Mail,5.67,3 lbs ,,,3,1
{9455109109628500119672},2025-10-20 0:00:00,Library - Interlibrary Loan,Occidental College,"1600 Campus Rd, Stop M-10 Los Angeles CA 90041-3314",US,Library Mail,4.96,2 lbs ,,,2,1
{9455109109628500120913},2025-10-20 0:00:00,Arboretum Library - ILL Dept,Los Angeles County Arboretum & Garden,301 N Baldwin Ave Arcadia CA 91007-2697,US,Library Mail,4.25,1 lbs ,,,1,1
{9455109109628500122856},2025-10-20 0:00:00,ILL Dept,Lee College,200 Lee Dr Baytown TX 77520-4728,US,Library Mail,4.25,1 lbs ,,,1,1
{9455109109628500124775},2025-10-20 0:00:00,Interlibrary Loan,Taft School,110 Woodbury Rd Watertown CT 06795-2100,US,Library Mail,4.25,1 lbs ,,,1,1
{9455109109628500125659},2025-10-20 0:00:00,Interlibrary Loan,Hayner Public Library District,401 State St Alton IL 62002-6137,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000481821},2025-10-21 0:00:00,Interlibrary Loan Department,Rockville Centre Public Library,221 N Village Ave Rockville Centre NY 11570-2316,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000496290},2025-10-22 0:00:00,Carol Grotnes Belk Lib - ILL,Elon University,2550 Campus Box Elon NC 27244-2005,US,Library Mail,7.1,5 lbs ,,,5,1
{9455140109628000496436},2025-10-22 0:00:00,ILL Dept - Health Sciences Library,Ney York Medical College,15 Dana Rd Valhalla NY 10595-1554,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000495408},2025-10-22 0:00:00,Interlibrary Loan,Boyle County Public Library,307 W Broadway St Danville KY 40422-1407,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000495323},2025-10-22 0:00:00,Interlibrary Loan - LIbrary Services,Bridgewater College,402 E College St Forrer Learning Commons Bridgewater VA 22812-1599,US,Library Mail,4.25,1 lbs ,,,1,1
{9455140109628000495057},2025-10-22 0:00:00,Interlibrary Loan,Irene Ingle Public Library,PO Box 679 Wrangell AK 99929-0679,US,Library Mail,4.25,1 lbs ,,,1,1
